codigo_lugar,largo_en_mm,ancho_en_mm,espesor_en_mm,tipo_de_muestreo,nombre_roca
LPRO_03,34,10,10,rodal con identificación litológica,calizas
LPRO_03,34,20,19,rodal con identificación litológica,metamórficas
LPRO_03,38,19,19,rodal con identificación litológica,metamórficas
LPRO_03,34,18,16,rodal con identificación litológica,margas/lutitas
LPRO_03,34,11,8,rodal con identificación litológica,calizas
LPRO_03,38,18,17,rodal con identificación litológica,calizas
LPRO_03,35,10,9,rodal con identificación litológica,areniscas
LPRO_03,50,34,26,rodal con identificación litológica,metamórficas
LPRO_03,76,39,30,rodal con identificación litológica,metamórficas
LPRO_03,60,41,30,rodal con identificación litológica,metamórficas
LPRO_03,55,39,20,rodal con identificación litológica,calizas
LPRO_03,54,39,15,rodal con identificación litológica,areniscas
LPRO_03,60,32,31,rodal con identificación litológica,calizas
LPRO_03,55,38,37,rodal con identificación litológica,areniscas
LPRO_03,52,22,18,rodal con identificación litológica,margas/lutitas
LPRO_03,38,29,19,rodal con identificación litológica,calizas
LPRO_03,34,20,18,rodal con identificación litológica,calizas
LPRO_03,48,46,22,rodal con identificación litológica,calizas
LPRO_03,34,19,19,rodal con identificación litológica,calizas
LPRO_03,46,21,19,rodal con identificación litológica,margas/lutitas
LPRO_03,46,11,11,rodal con identificación litológica,margas/lutitas
LPRO_03,42,19,15,rodal con identificación litológica,calizas
LPRO_03,32,22,19,rodal con identificación litológica,volcánicas
LPRO_03,41,11,10,rodal con identificación litológica,calizas
LPRO_03,41,10,10,rodal con identificación litológica,calizas
LPRO_03,35,9,9,rodal con identificación litológica,margas/lutitas
LPRO_03,40,30,17,rodal con identificación litológica,calizas
LPRO_03,38,23,19,rodal con identificación litológica,metamórficas
LPRO_03,38,10,9,rodal con identificación litológica,areniscas
LPRO_03,35,10,10,rodal con identificación litológica,margas/lutitas
LPRO_03,35,10,5,rodal con identificación litológica,indeterminadas
LPRO_03,36,26,18,rodal con identificación litológica,calizas
LPRO_03,45,12,10,rodal con identificación litológica,calizas
LPRO_03,40,19,11,rodal con identificación litológica,margas/lutitas
LPRO_03,46,40,24,rodal con identificación litológica,calizas
LPRO_03,41,11,8,rodal con identificación litológica,margas/lutitas
LPRO_03,42,30,19,rodal con identificación litológica,calizas
LPRO_03,35,20,19,rodal con identificación litológica,volcánicas
LPRO_03,35,19,12,rodal con identificación litológica,margas/lutitas
LPRO_03,37,29,19,rodal con identificación litológica,areniscas
LPRO_03,43,16,8,rodal con identificación litológica,margas/lutitas
LPRO_03,46,16,16,rodal con identificación litológica,volcánicas
LPRO_03,49,24,10,rodal con identificación litológica,margas/lutitas
LPRO_03,37,12,10,rodal con identificación litológica,margas/lutitas
LPRO_03,33,19,11,rodal con identificación litológica,areniscas
LPRO_03,33,21,11,rodal con identificación litológica,margas/lutitas
LPRO_03,42,19,12,rodal con identificación litológica,margas/lutitas
LPRO_03,46,24,10,rodal con identificación litológica,margas/lutitas
LPRO_03,47,20,11,rodal con identificación litológica,calizas
LPRO_03,36,25,15,rodal con identificación litológica,calizas
LPRO_03,33,14,9,rodal con identificación litológica,margas/lutitas
LPRO_03,33,20,10,rodal con identificación litológica,margas/lutitas
LPRO_03,35,19,11,rodal con identificación litológica,calizas
LPRO_03,33,14,10,rodal con identificación litológica,margas/lutitas
LPRO_03,33,15,11,rodal con identificación litológica,margas/lutitas
LPRO_03,32,6,6,rodal con identificación litológica,margas/lutitas
LPRO_03,35,25,17,rodal con identificación litológica,volcánicas
LPRO_03,42,16,14,rodal con identificación litológica,margas/lutitas
LPRO_03,53,22,18,rodal con identificación litológica,calizas
LPRO_03,32,30,14,rodal con identificación litológica,margas/lutitas
LPRO_03,46,29,20,rodal con identificación litológica,calizas
LPRO_03,36,32,27,rodal con identificación litológica,calizas
LPRO_03,50,25,24,rodal con identificación litológica,margas/lutitas
LPRO_03,43,30,28,rodal con identificación litológica,margas/lutitas
LPRO_03,49,30,26,rodal con identificación litológica,areniscas
LPRO_03,51,41,20,rodal con identificación litológica,areniscas
LPRO_03,63,39,35,rodal con identificación litológica,plutónicas
LPRO_03,56,30,19,rodal con identificación litológica,margas/lutitas
LPRO_03,47,23,23,rodal con identificación litológica,margas/lutitas
LPRO_03,43,20,19,rodal con identificación litológica,margas/lutitas
LPRO_03,84,59,48,rodal con identificación litológica,calizas
LPRO_03,40,25,20,rodal con identificación litológica,margas/lutitas
LPRO_03,49,20,18,rodal con identificación litológica,calizas
LPRO_03,34,32,14,rodal con identificación litológica,calizas
LPRO_03,40,38,29,rodal con identificación litológica,margas/lutitas
LPRO_03,41,29,23,rodal con identificación litológica,calizas
LPRO_03,38,24,18,rodal con identificación litológica,volcánicas
LPRO_03,39,23,19,rodal con identificación litológica,volcánicas
LPRO_03,33,18,13,rodal con identificación litológica,calizas
LPRO_03,34,29,20,rodal con identificación litológica,areniscas
LPRO_03,36,29,15,rodal con identificación litológica,calizas
LPRO_03,36,19,15,rodal con identificación litológica,calizas
LPRO_03,33,29,20,rodal con identificación litológica,areniscas
LPRO_03,37,17,10,rodal con identificación litológica,margas/lutitas
LPRO_03,39,16,11,rodal con identificación litológica,calizas
LPRO_03,33,22,6,rodal con identificación litológica,areniscas
LPRO_03,35,24,15,rodal con identificación litológica,areniscas
LPRO_03,36,12,12,rodal con identificación litológica,calizas
LPRO_03,34,14,9,rodal con identificación litológica,margas/lutitas
LPRO_03,30,18,17,rodal con identificación litológica,areniscas
LPRO_03,32,19,9,rodal con identificación litológica,calizas
LPRO_03,30,11,6,rodal con identificación litológica,margas/lutitas
LPRO_03,31,18,16,rodal con identificación litológica,calizas
LPRO_03,30,18,11,rodal con identificación litológica,volcánicas
LPRO_03,30,18,16,rodal con identificación litológica,metamórficas
LPRO_03,30,12,9,rodal con identificación litológica,calizas
LPRO_03,30,9,9,rodal con identificación litológica,metamórficas
LPRO_03,39,18,10,rodal con identificación litológica,volcánicas
LPRO_03,35,21,9,rodal con identificación litológica,margas/lutitas
LPRO_03,49,22,14,rodal con identificación litológica,volcánicas
LPRO_02,53,23,19,rodal con identificación litológica,calizas
LPRO_02,34,33,20,rodal con identificación litológica,areniscas
LPRO_02,36,25,24,rodal con identificación litológica,calizas
LPRO_02,50,21,18,rodal con identificación litológica,calizas
LPRO_02,36,15,12,rodal con identificación litológica,calizas
LPRO_02,33,25,19,rodal con identificación litológica,volcánicas
LPRO_02,38,24,23,rodal con identificación litológica,areniscas
LPRO_02,36,33,21,rodal con identificación litológica,margas/lutitas
LPRO_02,45,19,12,rodal con identificación litológica,areniscas
LPRO_02,36,23,11,rodal con identificación litológica,margas/lutitas
LPRO_02,34,15,11,rodal con identificación litológica,margas/lutitas
LPRO_02,39,18,15,rodal con identificación litológica,areniscas
LPRO_02,33,19,18,rodal con identificación litológica,volcánicas
LPRO_02,60,39,35,rodal con identificación litológica,areniscas
LPRO_02,39,19,17,rodal con identificación litológica,margas/lutitas
LPRO_02,45,31,30,rodal con identificación litológica,margas/lutitas
LPRO_02,45,25,21,rodal con identificación litológica,areniscas
LPRO_02,39,22,13,rodal con identificación litológica,margas/lutitas
LPRO_02,39,25,13,rodal con identificación litológica,calizas
LPRO_02,32,17,16,rodal con identificación litológica,volcánicas
LPRO_02,35,21,18,rodal con identificación litológica,volcánicas
LPRO_02,52,34,29,rodal con identificación litológica,calizas
LPRO_02,39,34,19,rodal con identificación litológica,calizas
LPRO_02,32,11,9,rodal con identificación litológica,areniscas
LPRO_02,34,27,25,rodal con identificación litológica,calizas
LPRO_02,37,27,25,rodal con identificación litológica,margas/lutitas
LPRO_02,35,21,14,rodal con identificación litológica,calizas
LPRO_02,35,16,14,rodal con identificación litológica,calizas
LPRO_02,39,33,25,rodal con identificación litológica,volcánicas
LPRO_02,36,27,21,rodal con identificación litológica,metamórficas
LPRO_02,35,14,12,rodal con identificación litológica,volcánicas
LPRO_02,35,29,13,rodal con identificación litológica,margas/lutitas
LPRO_02,38,23,18,rodal con identificación litológica,margas/lutitas
LPRO_02,32,19,15,rodal con identificación litológica,margas/lutitas
LPRO_02,32,13,12,rodal con identificación litológica,margas/lutitas
LPRO_02,33,19,12,rodal con identificación litológica,margas/lutitas
LPRO_02,44,33,15,rodal con identificación litológica,calizas
LPRO_02,32,18,9,rodal con identificación litológica,calizas
LPRO_02,39,36,22,rodal con identificación litológica,calizas
LPRO_02,32,21,14,rodal con identificación litológica,areniscas
LPRO_02,33,17,15,rodal con identificación litológica,areniscas
LPRO_02,55,25,22,rodal con identificación litológica,calizas
LPRO_02,33,18,15,rodal con identificación litológica,metamórficas
LPRO_02,34,23,19,rodal con identificación litológica,areniscas
LPRO_02,44,23,15,rodal con identificación litológica,calizas
